# s/c    M_is
1.28119503 0.86408959
1.27992372 0.86317079
1.27865242 0.86229863
1.27738111 0.86147217
1.27610981 0.86069045
1.27483850 0.85995256
1.27356719 0.85925757
1.27229589 0.85860458
1.27102458 0.85799268
1.26975328 0.85742100
1.26848197 0.85688864
1.26721067 0.85639473
1.26593936 0.85593843
1.26466806 0.85551886
1.26339675 0.85513520
1.26212545 0.85478660
1.26085414 0.85447225
1.25958283 0.85419132
1.25831153 0.85394301
1.25704022 0.85372652
1.25576892 0.85354105
1.25449761 0.85338584
1.25322631 0.85326009
1.25195500 0.85316306
1.25068370 0.85309398
1.24941239 0.85305211
1.24814109 0.85303671
1.24686978 0.85304704
1.24559847 0.85308239
1.24432717 0.85314204
1.24305586 0.85322528
1.24178456 0.85333142
1.24051325 0.85345977
1.23924195 0.85360964
1.23797064 0.85378037
1.23669934 0.85397129
1.23542803 0.85418173
1.23415673 0.85441106
1.23288542 0.85465864
1.23161411 0.85492382
1.23034281 0.85520599
1.22907150 0.85550453
1.22780020 0.85581884
1.22652889 0.85614830
1.22525759 0.85649233
1.22398628 0.85685035
1.22271498 0.85722178
1.22144367 0.85760605
1.22017237 0.85800259
1.21890106 0.85841087
1.21762975 0.85883033
1.21635845 0.85926043
1.21508714 0.85970066
1.21381584 0.86015048
1.21254453 0.86060938
1.21127323 0.86107687
1.21000192 0.86155244
1.20873062 0.86203561
1.20744453 0.86252589
1.20617322 0.86302281
1.20490192 0.86352590
1.20363061 0.86403471
1.20235931 0.86454879
1.20108800 0.86506770
1.19981670 0.86559099
1.19854539 0.86611826
1.19727408 0.86664907
1.19600278 0.86718302
1.19473147 0.86771971
1.19346017 0.86825873
1.19218886 0.86879971
1.19091756 0.86934227
1.18964625 0.86988603
1.18837495 0.87043063
1.18710364 0.87097572
1.18583234 0.87152095
1.18456103 0.87206598
1.18328972 0.87261047
1.18201842 0.87315411
1.18074711 0.87369658
1.17946103 0.87423757
1.17818972 0.87477677
1.17691841 0.87531391
1.17564711 0.87584868
1.17437580 0.87638083
1.17310450 0.87691007
1.17183319 0.87743615
1.17056189 0.87795881
1.16929058 0.87847781
1.16801928 0.87899292
1.16674797 0.87950390
1.16547667 0.88001053
1.16420536 0.88051260
1.16293405 0.88100991
1.16166275 0.88150225
1.16039144 0.88198944
1.15912014 0.88247129
1.15783405 0.88294764
1.15656274 0.88341831
1.15529144 0.88388316
1.15402013 0.88471359
1.15274883 0.88536188
1.15147752 0.88603727
1.15020622 0.88672582
1.14893491 0.88740033
1.14766361 0.88804503
1.14639230 0.88866678
1.14512100 0.88928076
1.14384969 0.88989661
1.14257838 0.89051182
1.14130708 0.89111861
1.14002099 0.89171366
1.13874969 0.89227863
1.13747838 0.89278578
1.13620707 0.89321169
1.13493577 0.89353958
1.13366446 0.89377633
1.13239316 0.89393568
1.13112185 0.89403911
1.12985055 0.89411001
1.12857924 0.89416660
1.12730794 0.89422392
1.12603663 0.89429376
1.12475054 0.89438260
1.12347924 0.89449125
1.12220793 0.89461560
1.12093663 0.89475063
1.11966532 0.89489210
1.11839402 0.89503694
1.11712271 0.89518279
1.11585141 0.89532775
1.11458010 0.89547034
1.11330879 0.89560938
1.11203749 0.89574377
1.11075140 0.89587264
1.10948010 0.89599539
1.10820879 0.89611151
1.10693748 0.89622064
1.10566618 0.89632259
1.10439487 0.89641734
1.10312357 0.89650508
1.10185226 0.89658622
1.10058096 0.89666138
1.09930965 0.89673153
1.09802356 0.89679787
1.09675226 0.89686200
1.09548095 0.89692583
1.09420965 0.89699154
1.09293834 0.89706154
1.09166704 0.89713789
1.09039573 0.89722246
1.08912443 0.89731693
1.08783834 0.89742262
1.08656703 0.89754068
1.08529573 0.89767193
1.08402442 0.89781693
1.08275312 0.89797588
1.08148181 0.89814888
1.08021050 0.89833579
1.07893920 0.89853648
1.07766789 0.89875074
1.07638181 0.89897818
1.07511050 0.89921811
1.07383919 0.89946958
1.07256789 0.89973152
1.07129658 0.90000278
1.07002528 0.90028212
1.06875397 0.90056827
1.06746788 0.90085994
1.06619658 0.90115586
1.06492527 0.90145466
1.06365397 0.90175474
1.06238266 0.90205405
1.06111136 0.90235005
1.05984005 0.90263989
1.05856875 0.90292118
1.05728266 0.90319294
1.05601135 0.90345587
1.05474005 0.90371184
1.05346874 0.90396329
1.05219744 0.90421233
1.05092613 0.90446038
1.04965483 0.90470831
1.04836874 0.90495664
1.04709743 0.90520567
1.04582613 0.90545557
1.04455482 0.90570642
1.04328352 0.90595826
1.04201221 0.90621110
1.04072612 0.90646490
1.03945482 0.90671958
1.03818351 0.90697507
1.03691221 0.90723125
1.03564090 0.90748801
1.03436960 0.90774532
1.03309829 0.90800324
1.03181220 0.90826188
1.03054090 0.90852143
1.02926959 0.90878203
1.02799829 0.90904383
1.02672698 0.90930696
1.02545567 0.90957154
1.02416959 0.90983757
1.02289828 0.91010491
1.02162698 0.91037331
1.02035567 0.91064245
1.01908436 0.91091212
1.01779828 0.91118220
1.01652697 0.91145264
1.01525567 0.91172343
1.01398436 0.91199456
1.01271305 0.91226603
1.01144175 0.91253781
1.01015566 0.91280991
1.00888436 0.91308225
1.00761305 0.91335483
1.00634174 0.91362767
1.00507044 0.91390079
1.00378435 0.91417437
1.00251305 0.91444871
1.00124174 0.91472429
0.99997043 0.91500171
0.99869913 0.91528152
0.99742782 0.91556417
0.99614174 0.91584998
0.99487043 0.91613909
0.99359912 0.91643154
0.99232782 0.91672728
0.99105651 0.91702618
0.98977043 0.91732800
0.98849912 0.91763240
0.98722781 0.91793883
0.98595651 0.91824665
0.98468520 0.91855512
0.98339912 0.91886348
0.98212781 0.91917101
0.98085651 0.91947720
0.97958520 0.91978185
0.97829911 0.92008530
0.97702781 0.92038836
0.97575650 0.92069207
0.97448520 0.92099747
0.97321389 0.92130539
0.97192780 0.92161642
0.97065650 0.92193090
0.96938519 0.92224890
0.96811389 0.92257031
0.96682780 0.92289463
0.96555649 0.92322124
0.96428519 0.92354920
0.96301388 0.92387760
0.96174258 0.92420537
0.96045649 0.92453067
0.95918518 0.92485230
0.95791388 0.92517024
0.95664257 0.92548581
0.95535648 0.92580149
0.95408518 0.92611985
0.95281387 0.92644224
0.95154257 0.92676932
0.95025648 0.92710148
0.94898517 0.92743861
0.94771387 0.92778043
0.94644256 0.92812627
0.94515647 0.92847518
0.94388517 0.92882597
0.94261386 0.92917712
0.94134256 0.92952683
0.94005647 0.92987335
0.93878516 0.93021665
0.93751386 0.93055867
0.93624255 0.93090215
0.93495647 0.93125002
0.93368516 0.93160343
0.93241385 0.93196283
0.93114255 0.93232858
0.92985646 0.93270056
0.92858516 0.93307871
0.92731385 0.93346280
0.92604254 0.93385246
0.92475646 0.93424695
0.92348515 0.93464469
0.92221385 0.93504323
0.92094254 0.93543959
0.91965645 0.93583123
0.91838515 0.93621711
0.91711384 0.93659739
0.91582775 0.93697298
0.91455645 0.93734552
0.91328514 0.93771676
0.91201384 0.93808845
0.91072775 0.93846246
0.90945644 0.93883992
0.90818514 0.93922146
0.90691383 0.93960722
0.90562774 0.93999673
0.90435644 0.94038915
0.90308513 0.94078339
0.90179905 0.94117796
0.90052774 0.94157141
0.89925643 0.94196217
0.89797035 0.94234794
0.89669904 0.94272711
