# s/c    M_is
1.28119503 0.92316080
1.27992372 0.92305616
1.27865242 0.92295909
1.27738111 0.92287042
1.27610981 0.92279097
1.27483850 0.92272155
1.27356719 0.92266294
1.27229589 0.92261592
1.27102458 0.92258123
1.26975328 0.92255961
1.26848197 0.92255179
1.26721067 0.92255848
1.26593936 0.92258036
1.26466806 0.92261811
1.26339675 0.92267239
1.26212545 0.92274384
1.26085414 0.92283309
1.25958283 0.92294075
1.25831153 0.92306743
1.25704022 0.92321369
1.25576892 0.92338011
1.25449761 0.92356724
1.25322631 0.92377560
1.25195500 0.92400572
1.25068370 0.92425810
1.24941239 0.92453324
1.24814109 0.92483159
1.24686978 0.92515362
1.24559847 0.92549978
1.24432717 0.92587048
1.24305586 0.92626614
1.24178456 0.92668716
1.24051325 0.92713392
1.23924195 0.92760678
1.23797064 0.92810609
1.23669934 0.92863220
1.23542803 0.92918541
1.23415673 0.92976604
1.23288542 0.93037438
1.23161411 0.93101071
1.23034281 0.93167528
1.22907150 0.93236834
1.22780020 0.93309012
1.22652889 0.93384085
1.22525759 0.93462071
1.22398628 0.93542991
1.22271498 0.93626860
1.22144367 0.93713695
1.22017237 0.93803511
1.21890106 0.93896319
1.21762975 0.93992131
1.21635845 0.94090958
1.21508714 0.94192807
1.21381584 0.94297685
1.21254453 0.94405598
1.21127323 0.94516551
1.21000192 0.94630544
1.20873062 0.94747581
1.20744453 0.94867659
1.20617322 0.94990778
1.20490192 0.95116933
1.20363061 0.95246121
1.20235931 0.95378335
1.20108800 0.95513567
1.19981670 0.95651809
1.19854539 0.95793048
1.19727408 0.95937274
1.19600278 0.96084473
1.19473147 0.96234629
1.19346017 0.96387726
1.19218886 0.96543747
1.19091756 0.96702670
1.18964625 0.96864476
1.18837495 0.97029142
1.18710364 0.97196644
1.18583234 0.97366955
1.18456103 0.97540050
1.18328972 0.97715898
1.18201842 0.97894471
1.18074711 0.98075737
1.17946103 0.98259661
1.17818972 0.98446209
1.17691841 0.98635346
1.17564711 0.98827032
1.17437580 0.99021228
1.17310450 0.99217893
1.17183319 0.99416983
1.17056189 0.99618455
1.16929058 0.99822262
1.16801928 1.00028357
1.16674797 1.00236689
1.16547667 1.00447207
1.16420536 1.00659859
1.16293405 1.00874590
1.16166275 1.01091343
1.16039144 1.01310061
1.15912014 1.01530682
1.15783405 1.01753145
1.15656274 1.01977387
1.15529144 1.02203341
1.15402013 1.02582958
1.15274883 1.02855918
1.15147752 1.03133371
1.15020622 1.03413707
1.14893491 1.03694574
1.14766361 1.03974915
1.14639230 1.04255720
1.14512100 1.04538667
1.14384969 1.04824132
1.14257838 1.05110756
1.14130708 1.05396183
1.14002099 1.05679100
1.13874969 1.05957899
1.13747838 1.06230628
1.13620707 1.06495930
1.13493577 1.06753075
1.13366446 1.07002929
1.13239316 1.07246784
1.13112185 1.07486190
1.12985055 1.07722848
1.12857924 1.07958324
1.12730794 1.08193866
1.12603663 1.08430761
1.12475054 1.08670102
1.12347924 1.08912351
1.12220793 1.09156706
1.12093663 1.09401203
1.11966532 1.09643192
1.11839402 1.09880043
1.11712271 1.10110333
1.11585141 1.10333438
1.11458010 1.10549108
1.11330879 1.10757454
1.11203749 1.10958691
1.11075140 1.11153137
1.10948010 1.11341144
