# s/c   P_w_mean    P_w_std
0.00000000 0.99998742 0.00000734
0.00130087 0.99959452 0.00001018
0.00260174 0.99919229 0.00001456
0.00390261 0.99878161 0.00001884
0.00520348 0.99836332 0.00002265
0.00650435 0.99793818 0.00002595
0.00780522 0.99750692 0.00002873
0.00910609 0.99707017 0.00003103
0.01040697 0.99662854 0.00003288
0.01170784 0.99618257 0.00003433
0.01300871 0.99573275 0.00003543
0.01430958 0.99527951 0.00003622
0.01561045 0.99482324 0.00003673
0.01691132 0.99436429 0.00003701
0.01821219 0.99390295 0.00003710
0.01951306 0.99343947 0.00003704
0.02081393 0.99297407 0.00003686
0.02211480 0.99250690 0.00003659
0.02341567 0.99203811 0.00003628
0.02470176 0.99156779 0.00003594
0.02600263 0.99109598 0.00003561
0.02730350 0.99062271 0.00003530
0.02860437 0.99014798 0.00003505
0.02990524 0.98967174 0.00003486
0.03120611 0.98919391 0.00003475
0.03250698 0.98871440 0.00003473
0.03380786 0.98823307 0.00003480
0.03510873 0.98774979 0.00003496
0.03640960 0.98726436 0.00003521
0.03771047 0.98677658 0.00003555
0.03901134 0.98628625 0.00003596
0.04029743 0.98579310 0.00003645
0.04159830 0.98529688 0.00003699
0.04289917 0.98479732 0.00003758
0.04420004 0.98429411 0.00003820
0.04550091 0.98378695 0.00003886
0.04680178 0.98327550 0.00003953
0.04810265 0.98275944 0.00004021
0.04940352 0.98223840 0.00004090
0.05068961 0.98171204 0.00004159
0.05199048 0.98117997 0.00004227
0.05329135 0.98064182 0.00004294
0.05459222 0.98009721 0.00004360
0.05589309 0.97954573 0.00004425
0.05719396 0.97898700 0.00004489
0.05849483 0.97842060 0.00004551
0.05978092 0.97784614 0.00004613
0.06108179 0.97726319 0.00004674
0.06238266 0.97667135 0.00004734
0.06368353 0.97607021 0.00004795
0.06498440 0.97545935 0.00004857
0.06628528 0.97483837 0.00004919
0.06757136 0.97420685 0.00004983
0.06887223 0.97356438 0.00005050
0.07017310 0.97291056 0.00005119
0.07147398 0.97224499 0.00005192
0.07277485 0.97156728 0.00005269
0.07407572 0.97087703 0.00005351
0.07536180 0.97017385 0.00005438
0.07666268 0.96945737 0.00005532
0.07796355 0.96872722 0.00005633
0.07926442 0.96798304 0.00005741
0.08056529 0.96722446 0.00005857
0.08185138 0.96645114 0.00005983
0.08315225 0.96566275 0.00006117
0.08445312 0.96485896 0.00006262
0.08575399 0.96403945 0.00006416
0.08704008 0.96320391 0.00006582
0.08834095 0.96235206 0.00006759
0.08964182 0.96148361 0.00006948
0.09094269 0.96059828 0.00007149
0.09224356 0.95969582 0.00007362
0.09352965 0.95877599 0.00007588
0.09483052 0.95783854 0.00007827
