# s/c   P_w_mean    P_w_std
0.00000000 0.99996652 0.00002975
0.00130087 0.99957835 0.00002384
0.00260174 0.99918118 0.00001896
0.00390261 0.99877586 0.00001523
0.00520348 0.99836322 0.00001281
0.00650435 0.99794399 0.00001181
0.00780522 0.99751887 0.00001208
0.00910609 0.99708848 0.00001320
0.01040697 0.99665340 0.00001478
0.01170784 0.99621415 0.00001655
0.01300871 0.99577120 0.00001840
0.01430958 0.99532498 0.00002027
0.01561045 0.99487585 0.00002214
0.01691132 0.99442416 0.00002402
0.01821219 0.99397018 0.00002592
0.01951306 0.99351415 0.00002785
0.02081393 0.99305627 0.00002982
0.02211480 0.99259670 0.00003184
0.02341567 0.99213556 0.00003390
0.02470176 0.99167295 0.00003602
0.02600263 0.99120890 0.00003818
0.02730350 0.99074345 0.00004039
0.02860437 0.99027656 0.00004263
0.02990524 0.98980820 0.00004489
0.03120611 0.98933829 0.00004718
0.03250698 0.98886672 0.00004947
0.03380786 0.98839338 0.00005176
0.03510873 0.98791810 0.00005404
0.03640960 0.98744072 0.00005631
0.03771047 0.98696102 0.00005855
0.03901134 0.98647879 0.00006076
0.04029743 0.98599379 0.00006292
0.04159830 0.98550576 0.00006504
0.04289917 0.98501442 0.00006712
0.04420004 0.98451948 0.00006913
0.04550091 0.98402064 0.00007109
0.04680178 0.98351756 0.00007299
0.04810265 0.98300993 0.00007483
0.04940352 0.98249740 0.00007661
0.05068961 0.98197960 0.00007833
0.05199048 0.98145617 0.00007999
0.05329135 0.98092675 0.00008159
0.05459222 0.98039095 0.00008313
0.05589309 0.97984839 0.00008461
0.05719396 0.97929866 0.00008605
0.05849483 0.97874139 0.00008744
0.05978092 0.97817616 0.00008878
0.06108179 0.97760257 0.00009009
0.06238266 0.97702022 0.00009137
0.06368353 0.97642871 0.00009262
0.06498440 0.97582764 0.00009385
0.06628528 0.97521658 0.00009507
0.06757136 0.97459516 0.00009628
0.06887223 0.97396295 0.00009749
0.07017310 0.97331958 0.00009871
0.07147398 0.97266464 0.00009994
0.07277485 0.97199774 0.00010120
0.07407572 0.97131851 0.00010249
0.07536180 0.97062656 0.00010382
0.07666268 0.96992153 0.00010520
0.07796355 0.96920305 0.00010663
0.07926442 0.96847076 0.00010813
0.08056529 0.96772432 0.00010970
0.08185138 0.96696338 0.00011135
0.08315225 0.96618762 0.00011309
0.08445312 0.96539672 0.00011493
0.08575399 0.96459036 0.00011687
0.08704008 0.96376825 0.00011892
0.08834095 0.96293010 0.00012108
0.08964182 0.96207563 0.00012338
0.09094269 0.96120457 0.00012580
0.09224356 0.96031668 0.00012836
0.09352965 0.95941171 0.00013107
0.09483052 0.95848943 0.00013392
0.09613139 0.95754963 0.00013692
0.09743226 0.95659211 0.00014009
0.09871835 0.95561668 0.00014341
0.10001922 0.95462317 0.00014690
0.10132009 0.95361141 0.00015056
0.10260618 0.95258127 0.00015440
0.10390705 0.95153260 0.00015840
0.10520792 0.95046530 0.00016258
0.10650879 0.94937925 0.00016694
0.10779488 0.94827437 0.00017148
0.10909575 0.94715059 0.00017620
0.11039662 0.94600785 0.00018110
0.11169749 0.94484610 0.00018617
0.11298358 0.94366531 0.00019143
0.11428445 0.94246547 0.00019686
0.11558532 0.94124658 0.00020248
0.11687141 0.94000865 0.00020826
0.11817228 0.93875171 0.00021423
0.11947315 0.93747579 0.00022036
0.12075924 0.93618097 0.00022666
0.12206011 0.93486730 0.00023313
0.12336098 0.93353488 0.00023976
0.12466185 0.93218379 0.00024655
0.12594794 0.93081414 0.00025349
0.12724881 0.92942607 0.00026058
0.12854968 0.92801970 0.00026782
0.12983577 0.92656401 0.00027519
0.13113664 0.92504641 0.00028680
0.13243751 0.92352147 0.00029773
0.13372359 0.92198674 0.00030746
0.13502447 0.92043803 0.00031599
0.13632534 0.91887771 0.00032426
0.13761142 0.91730790 0.00033219
0.13891229 0.91572712 0.00034048
0.14019838 0.91412062 0.00034922
0.14149925 0.91246391 0.00035657
0.14280012 0.91074730 0.00036119
0.14408621 0.90899437 0.00036570
0.14538708 0.90725152 0.00037694
0.14668795 0.90554579 0.00039246
0.14797404 0.90387661 0.00040654
0.14927491 0.90223043 0.00041870
0.15056100 0.90058198 0.00042756
0.15186187 0.89891566 0.00043288
0.15316274 0.89724234 0.00043762
0.15444883 0.89557971 0.00044470
0.15574970 0.89392475 0.00045188
0.15703579 0.89225937 0.00045643
0.15833666 0.89058881 0.00045984
0.15963753 0.88893275 0.00046457
0.16092362 0.88729624 0.00047260
0.16222449 0.88563426 0.00047880
0.16351058 0.88388164 0.00047572
0.16481145 0.88204469 0.00046728
0.16611232 0.88017139 0.00046372
0.16739841 0.87830110 0.00047111
0.16869928 0.87645408 0.00048547
0.16998537 0.87463094 0.00050138
0.17128624 0.87282824 0.00051704
0.17257232 0.87104157 0.00053111
0.17387319 0.86926647 0.00054345
0.17517407 0.86749834 0.00055409
0.17646015 0.86573245 0.00056323
0.17776102 0.86396465 0.00057111
0.17904711 0.86219238 0.00057837
0.18034798 0.86041259 0.00058512
0.18163407 0.85862227 0.00059171
0.18293494 0.85681359 0.00059768
0.18422103 0.85497142 0.00060084
0.18552190 0.85308757 0.00059967
0.18680799 0.85117090 0.00059583
0.18810886 0.84925309 0.00059738
0.18939495 0.84736418 0.00060862
0.19069582 0.84550173 0.00062553
0.19199669 0.84361587 0.00063937
0.19328278 0.84163478 0.00063845
0.19458365 0.83956071 0.00062672
0.19586974 0.83744030 0.00061857
0.19717061 0.83529835 0.00062047
0.19845669 0.83314485 0.00063013
0.19975757 0.83096843 0.00064022
0.20104365 0.82876832 0.00064948
0.20234452 0.82656902 0.00066319
0.20363061 0.82438831 0.00068312
0.20493148 0.82223693 0.00070897
0.20621757 0.82007888 0.00073418
0.20750366 0.81783768 0.00074624
0.20880453 0.81549863 0.00074638
0.21009062 0.81309441 0.00074449
0.21139149 0.81066227 0.00075068
0.21267758 0.80822441 0.00076632
0.21397845 0.80577069 0.00078503
0.21526454 0.80328280 0.00080335
0.21656541 0.80075011 0.00081940
0.21785149 0.79816988 0.00083321
