# s/c    M_iso_mean    M_iso_std
0.00000000 0.03460156 0.00025436
0.00130087 0.03918100 0.00024628
0.00260174 0.04365847 0.00023972
0.00390261 0.04803664 0.00023459
0.00520348 0.05231817 0.00023075
0.00650435 0.05650573 0.00022807
0.00780522 0.06060198 0.00022642
0.00910609 0.06460957 0.00022565
0.01040697 0.06853114 0.00022562
0.01170784 0.07236932 0.00022619
0.01300871 0.07612675 0.00022723
0.01430958 0.07980602 0.00022863
0.01561045 0.08340974 0.00023029
0.01691132 0.08694050 0.00023212
0.01821219 0.09040085 0.00023405
0.01951306 0.09379336 0.00023599
0.02081393 0.09712054 0.00023792
0.02211480 0.10038492 0.00023976
0.02341567 0.10358899 0.00024150
0.02470176 0.10673521 0.00024309
0.02600263 0.10982603 0.00024453
0.02730350 0.11286387 0.00024578
0.02860437 0.11585113 0.00024684
0.02990524 0.11879019 0.00024771
0.03120611 0.12168338 0.00024836
0.03250698 0.12453302 0.00024882
0.03380786 0.12734140 0.00024907
0.03510873 0.13011078 0.00024912
0.03640960 0.13284337 0.00024898
0.03771047 0.13554138 0.00024865
0.03901134 0.13820697 0.00024815
0.04029743 0.14084227 0.00024748
0.04159830 0.14344936 0.00024666
0.04289917 0.14603031 0.00024569
0.04420004 0.14858715 0.00024460
0.04550091 0.15112186 0.00024340
0.04680178 0.15363639 0.00024210
0.04810265 0.15613265 0.00024072
0.04940352 0.15861253 0.00023927
0.05068961 0.16107785 0.00023777
0.05199048 0.16353042 0.00023623
0.05329135 0.16597199 0.00023467
0.05459222 0.16840428 0.00023311
0.05589309 0.17082896 0.00023156
0.05719396 0.17324767 0.00023004
0.05849483 0.17566201 0.00022857
0.05978092 0.17807352 0.00022715
0.06108179 0.18048372 0.00022581
0.06238266 0.18289407 0.00022455
0.06368353 0.18530600 0.00022340
0.06498440 0.18772088 0.00022237
0.06628528 0.19014005 0.00022147
0.06757136 0.19256481 0.00022071
0.06887223 0.19499640 0.00022010
0.07017310 0.19743603 0.00021966
0.07147398 0.19988487 0.00021939
0.07277485 0.20234402 0.00021930
0.07407572 0.20481455 0.00021941
0.07536180 0.20729751 0.00021972
0.07666268 0.20979387 0.00022023
0.07796355 0.21230456 0.00022095
0.07926442 0.21483049 0.00022189
0.08056529 0.21737250 0.00022304
0.08185138 0.21993140 0.00022442
0.08315225 0.22250795 0.00022603
0.08445312 0.22510286 0.00022786
0.08575399 0.22771682 0.00022992
0.08704008 0.23035044 0.00023221
0.08834095 0.23300433 0.00023473
0.08964182 0.23567901 0.00023748
0.09094269 0.23837499 0.00024046
0.09224356 0.24109273 0.00024366
0.09352965 0.24383264 0.00024708
0.09483052 0.24659510 0.00025073
0.09613139 0.24938043 0.00025460
0.09743226 0.25218893 0.00025869
0.09871835 0.25502085 0.00026299
0.10001922 0.25787639 0.00026751
0.10132009 0.26075573 0.00027223
0.10260618 0.26365899 0.00027716
0.10390705 0.26658628 0.00028230
0.10520792 0.26953763 0.00028763
0.10650879 0.27251308 0.00029316
0.10779488 0.27551259 0.00029889
0.10909575 0.27853611 0.00030479
0.11039662 0.28158356 0.00031089
0.11169749 0.28465479 0.00031715
0.11298358 0.28774966 0.00032359
0.11428445 0.29086796 0.00033020
0.11558532 0.29400948 0.00033696
0.11687141 0.29717394 0.00034388
0.11817228 0.30036107 0.00035095
0.11947315 0.30357055 0.00035816
0.12075924 0.30680202 0.00036549
0.12206011 0.31005512 0.00037296
0.12336098 0.31332943 0.00038054
0.12466185 0.31662453 0.00038822
0.12594794 0.31993997 0.00039601
0.12724881 0.32327527 0.00040388
0.12854968 0.32662992 0.00041184
0.12983577 0.32999231 0.00041985
0.13113664 0.33359131 0.00043462
0.13243751 0.33722411 0.00044502
0.13372359 0.34085087 0.00045466
0.13502447 0.34448349 0.00046294
0.13632534 0.34811853 0.00047062
0.13761142 0.35175428 0.00047768
0.13891229 0.35539092 0.00048449
0.14019838 0.35904752 0.00049194
0.14149925 0.36275073 0.00050160
0.14280012 0.36651460 0.00051307
0.14408621 0.37030936 0.00052658
0.14538708 0.37407373 0.00054380
0.14668795 0.37777068 0.00055888
0.14797404 0.38139539 0.00056842
0.14927491 0.38496221 0.00057366
0.15056100 0.38850252 0.00057639
0.15186187 0.39203707 0.00057824
0.15316274 0.39555473 0.00058028
0.15444883 0.39903380 0.00058276
0.15574970 0.40247785 0.00058403
0.15703579 0.40591279 0.00058394
0.15833666 0.40933585 0.00058282
0.15963753 0.41272637 0.00058018
0.16092362 0.41607861 0.00057644
0.16222449 0.41944885 0.00057167
0.16351058 0.42292195 0.00057050
0.16481145 0.42649017 0.00057575
0.16611232 0.43009374 0.00058958
0.16739841 0.43368158 0.00061066
0.16869928 0.43722047 0.00062904
0.16998537 0.44070327 0.00064196
0.17128624 0.44413033 0.00065056
0.17257232 0.44750545 0.00065517
0.17387319 0.45083643 0.00065693
0.17517407 0.45413417 0.00065636
0.17646015 0.45741215 0.00065385
0.17776102 0.46068372 0.00064972
0.17904711 0.46395856 0.00064430
0.18034798 0.46724357 0.00063795
0.18163407 0.47054186 0.00063108
0.18293494 0.47386016 0.00062474
0.18422103 0.47721279 0.00062142
0.18552190 0.48060791 0.00062122
0.18680799 0.48403623 0.00062347
0.18810886 0.48746375 0.00062591
0.18939495 0.49085736 0.00062226
0.19069582 0.49421845 0.00061125
0.19199669 0.49760551 0.00059857
0.19328278 0.50110648 0.00059230
0.19458365 0.50472040 0.00059510
0.19586974 0.50839420 0.00060749
0.19717061 0.51209794 0.00062613
0.19845669 0.51581676 0.00064303
0.19975757 0.51956304 0.00065741
0.20104365 0.52333818 0.00066948
0.20234452 0.52711404 0.00067575
0.20363061 0.53086792 0.00067251
0.20493148 0.53458446 0.00065945
0.20621757 0.53830749 0.00064357
0.20750366 0.54212823 0.00063426
0.20880453 0.54606439 0.00063484
0.21009062 0.55007702 0.00064515
0.21139149 0.55412037 0.00066203
0.21267758 0.55816921 0.00067752
0.21397845 0.56224123 0.00068872
0.21526454 0.56636364 0.00069832
0.21656541 0.57054840 0.00070897
0.21785149 0.57479622 0.00072279
0.21915236 0.57909905 0.00074000
0.22043845 0.58344395 0.00075933
0.22173932 0.58781546 0.00077830
0.22302541 0.59220215 0.00079563
0.22432628 0.59659928 0.00081110
0.22561237 0.60101994 0.00082660
0.22689846 0.60548971 0.00084533
0.22819933 0.61001323 0.00086907
0.22948542 0.61457401 0.00089861
0.23078629 0.61915126 0.00093240
0.23207238 0.62373285 0.00096666
0.23337325 0.62831374 0.00099842
0.23465933 0.63288355 0.00102525
0.23594542 0.63742285 0.00104738
0.23724629 0.64191095 0.00106604
0.23853238 0.64634389 0.00108219
0.23983325 0.65073718 0.00109629
0.24111934 0.65511774 0.00110915
0.24240543 0.65950752 0.00112257
0.24370630 0.66390876 0.00113764
0.24499239 0.66830248 0.00115467
0.24629326 0.67266422 0.00117392
0.24757935 0.67697790 0.00119369
0.24886543 0.68123562 0.00121074
0.25016630 0.68544101 0.00122425
0.25145239 0.68960124 0.00123460
0.25275326 0.69371775 0.00124360
0.25403935 0.69778701 0.00125416
0.25532544 0.70180322 0.00126723
0.25662631 0.70576386 0.00128187
0.25791240 0.70966523 0.00129692
0.25919849 0.71349882 0.00131074
0.26049936 0.71725845 0.00132083
0.26178545 0.72094457 0.00132522
0.26307153 0.72456626 0.00132490
0.26437240 0.72813014 0.00132299
0.26565849 0.73164960 0.00132307
0.26695936 0.73515634 0.00132816
0.26824545 0.73866763 0.00133740
0.26953154 0.74218076 0.00135016
0.27083241 0.74566404 0.00136576
0.27211850 0.74905591 0.00137697
0.27340459 0.75232416 0.00138122
0.27470546 0.75547585 0.00138060
0.27599154 0.75854736 0.00137797
0.27727763 0.76157979 0.00137965
0.27857850 0.76457739 0.00138608
0.27986459 0.76753217 0.00139443
0.28115068 0.77043488 0.00140331
0.28243677 0.77327802 0.00140564
0.28373764 0.77604408 0.00139935
0.28502373 0.77868967 0.00139654
0.28630981 0.78121616 0.00140239
0.28761068 0.78365780 0.00140901
0.28889677 0.78606637 0.00141274
0.29018286 0.78844426 0.00141526
0.29148373 0.79071588 0.00141442
0.29276982 0.79284035 0.00140846
0.29405591 0.79481893 0.00139637
0.29534200 0.79668109 0.00137925
0.29664287 0.79846991 0.00136152
0.29792895 0.80020924 0.00134583
0.29921504 0.80189023 0.00133356
0.30051591 0.80348237 0.00132366
0.30180200 0.80494789 0.00131144
0.30308809 0.80626929 0.00129507
0.30437418 0.80745699 0.00127560
0.30567505 0.80854371 0.00125448
0.30696114 0.80957681 0.00123476
