# s/c    M_iso_mean    M_iso_std
0.22819933 0.61663907 0.00084356
0.22948542 0.62128519 0.00087274
0.23078629 0.62594974 0.00090632
0.23207238 0.63061984 0.00094068
0.23337325 0.63528992 0.00097298
0.23465933 0.63994911 0.00100057
0.23594542 0.64457736 0.00102357
0.23724629 0.64915373 0.00104334
0.23853238 0.65367422 0.00106065
0.23983325 0.65815520 0.00107587
0.24111934 0.66262437 0.00108964
0.24240543 0.66710418 0.00110382
0.24370630 0.67159709 0.00111942
0.24499239 0.67608369 0.00113688
0.24629326 0.68053890 0.00115646
0.24757935 0.68494604 0.00117655
0.24886543 0.68929697 0.00119422
0.25016630 0.69359484 0.00120852
0.25145239 0.69784719 0.00121977
0.25275326 0.70205606 0.00122959
0.25403935 0.70621809 0.00124072
0.25532544 0.71032787 0.00125390
0.25662631 0.71438284 0.00126841
0.25791240 0.71837887 0.00128306
0.25919849 0.72230652 0.00129665
0.26049936 0.72615897 0.00130684
0.26178545 0.72993635 0.00131183
0.26307153 0.73364772 0.00131233
0.26437240 0.73730056 0.00131133
0.26565849 0.74090957 0.00131181
0.26695936 0.74450843 0.00131637
0.26824545 0.74811506 0.00132424
0.26953154 0.75172560 0.00133530
0.27083241 0.75530651 0.00134971
0.27211850 0.75879337 0.00136079
0.27340459 0.76215268 0.00136577
0.27470546 0.76539243 0.00136627
0.27599154 0.76855141 0.00136428
0.27727763 0.77167336 0.00136544
0.27857850 0.77476296 0.00137042
0.27986459 0.77781082 0.00137688
0.28115068 0.78080581 0.00138460
0.28243677 0.78373901 0.00138675
0.28373764 0.78659284 0.00138057
0.28502373 0.78932434 0.00137802
0.28630981 0.79193586 0.00138404
0.28761068 0.79446310 0.00138973
0.28889677 0.79695872 0.00139157
0.29018286 0.79942394 0.00139222
0.29148373 0.80178011 0.00139020
0.29276982 0.80398464 0.00138379
0.29405591 0.80603893 0.00137171
0.29534200 0.80797430 0.00135437
0.29664287 0.80983590 0.00133555
0.29792895 0.81164911 0.00131802
0.29921504 0.81340470 0.00130342
0.30051591 0.81507030 0.00129114
0.30180200 0.81660674 0.00127707
