# y/t    Temp_mean   Temp_std
0.00000000 0.79809286 0.00110704
0.00502513 0.80109824 0.00126885
0.01005025 0.80292695 0.00136447
0.01507538 0.80337938 0.00136693
0.02010050 0.80383182 0.00136940
0.02512563 0.80430989 0.00137311
0.03015075 0.80480849 0.00137822
0.03517588 0.80530710 0.00138336
0.04020101 0.80582674 0.00138956
0.04522613 0.80635994 0.00139435
0.05025126 0.80689493 0.00139922
0.05527638 0.80744085 0.00140380
0.06030151 0.80799608 0.00140700
0.06532663 0.80855592 0.00141026
0.07035176 0.80912325 0.00141307
0.07537688 0.80969225 0.00141417
0.08040201 0.81026690 0.00141670
0.08542714 0.81084309 0.00141915
0.09045226 0.81141511 0.00141928
0.09547739 0.81198951 0.00142085
0.10050251 0.81255856 0.00142197
0.10552764 0.81312008 0.00142220
0.11055276 0.81367802 0.00142248
0.11557789 0.81422788 0.00142299
0.12060302 0.81476879 0.00142353
0.12562814 0.81530347 0.00142398
0.13065327 0.81583098 0.00142517
0.13567839 0.81634729 0.00142625
0.14070352 0.81685873 0.00142741
0.14572864 0.81736694 0.00142894
0.15075377 0.81786248 0.00143094
0.15577889 0.81835707 0.00143323
0.16080402 0.81884855 0.00143590
0.16582915 0.81933518 0.00143901
0.17085427 0.81982110 0.00144222
0.17587940 0.82030666 0.00144707
0.18090452 0.82079220 0.00145285
0.18592965 0.82127797 0.00145864
0.19095477 0.82176579 0.00146855
0.19597990 0.82225360 0.00147777
0.20100503 0.82274252 0.00148807
0.20603015 0.82323386 0.00150124
0.21105528 0.82372500 0.00151469
0.21608040 0.82421753 0.00153023
0.22110553 0.82471003 0.00154713
0.22613065 0.82520246 0.00156411
0.23115578 0.82569653 0.00158291
0.23618090 0.82619052 0.00160210
0.24120603 0.82668625 0.00162193
0.24623116 0.82718230 0.00164132
0.25125628 0.82767836 0.00166077
0.25628141 0.82817844 0.00167939
0.26130653 0.82868001 0.00169761
0.26633166 0.82918125 0.00171533
0.27135678 0.82969117 0.00173130
0.27638191 0.83020065 0.00174734
0.28140704 0.83071362 0.00176267
0.28643216 0.83123311 0.00177686
0.29145729 0.83175085 0.00178983
0.29648241 0.83228002 0.00180108
0.30150754 0.83280896 0.00181254
0.30653266 0.83334071 0.00182384
