# s/c   cf_mean    cf_std
0.22819933 0.11087324 0.02698063
0.22948542 0.11199712 0.02718379
0.23078629 0.11301960 0.02738101
0.23207238 0.11394801 0.02757804
0.23337325 0.11480175 0.02777990
0.23465933 0.11556634 0.02798731
0.23594542 0.11621438 0.02820200
0.23724629 0.11675524 0.02842329
0.23853238 0.11724949 0.02865152
0.23983325 0.11777512 0.02888387
0.24111934 0.11837393 0.02911362
0.24240543 0.11903885 0.02933957
0.24370630 0.11971235 0.02956306
0.24499239 0.12032078 0.02978488
0.24629326 0.12082741 0.03000804
0.24757935 0.12123700 0.03022888
0.24886543 0.12156553 0.03044528
0.25016630 0.12184973 0.03065995
0.25145239 0.12213178 0.03087811
0.25275326 0.12240885 0.03109902
0.25403935 0.12266720 0.03132266
0.25532544 0.12290706 0.03154835
0.25662631 0.12311534 0.03177026
0.25791240 0.12326695 0.03198734
0.25919849 0.12332775 0.03219003
0.26049936 0.12329059 0.03238043
0.26178545 0.12321716 0.03257437
0.26307153 0.12313449 0.03276806
0.26437240 0.12307580 0.03296028
0.26565849 0.12312215 0.03316141
0.26695936 0.12331898 0.03336812
0.26824545 0.12362606 0.03356813
0.26953154 0.12389389 0.03375013
0.27083241 0.12395606 0.03390505
0.27211850 0.12373640 0.03405050
0.27340459 0.12330855 0.03420403
0.27470546 0.12289719 0.03437836
0.27599154 0.12265439 0.03457795
0.27727763 0.12255764 0.03477996
0.27857850 0.12249896 0.03496994
0.27986459 0.12238335 0.03513645
0.28115068 0.12218254 0.03526748
0.28243677 0.12187610 0.03539305
0.28373764 0.12145976 0.03554115
0.28502373 0.12091607 0.03569864
0.28630981 0.12034689 0.03586688
0.28761068 0.11994539 0.03605793
0.28889677 0.11970377 0.03623837
0.29018286 0.11936163 0.03637096
0.29148373 0.11872765 0.03648514
0.29276982 0.11787452 0.03660440
0.29405591 0.11697222 0.03673332
0.29534200 0.11618447 0.03687780
0.29664287 0.11557292 0.03702604
0.29792895 0.11506352 0.03716657
0.29921504 0.11452450 0.03729353
0.30051591 0.11383156 0.03740050
0.30180200 0.11295270 0.03749644
0.30308809 0.11195647 0.03759289
0.30437418 0.11097378 0.03769467
0.30567505 0.11012698 0.03779975
0.30696114 0.10947479 0.03789790
0.30824722 0.10897861 0.03798133
0.30953331 0.10854110 0.03805304
0.31083418 0.10803258 0.03811891
0.31212027 0.10734281 0.03817772
0.31340636 0.10648673 0.03822563
0.31469245 0.10557716 0.03827131
0.31599332 0.10467788 0.03832029
0.31727941 0.10373907 0.03836716
0.31856549 0.10276706 0.03842099
0.31985158 0.10185973 0.03848062
0.32115245 0.10111759 0.03854151
0.32243854 0.10058732 0.03859716
0.32372463 0.10026933 0.03864880
0.32501072 0.10010073 0.03869746
0.32629681 0.09997549 0.03873163
0.32759768 0.09979489 0.03874749
0.32888376 0.09951667 0.03874580
0.33016985 0.09914703 0.03874020
0.33145594 0.09869968 0.03873500
0.33275681 0.09823112 0.03873484
0.33404290 0.09782644 0.03875624
0.33532899 0.09750569 0.03879231
0.33661508 0.09720937 0.03882750
0.33790116 0.09689648 0.03885484
0.33918725 0.09656564 0.03887167
0.34048812 0.09625247 0.03887948
0.34177421 0.09599983 0.03888165
0.34306030 0.09584137 0.03888046
0.34434639 0.09579615 0.03888001
0.34563247 0.09586487 0.03888365
0.34693335 0.09599616 0.03889842
0.34821943 0.09608996 0.03891797
0.34950552 0.09607153 0.03893492
0.35079161 0.09592600 0.03894969
0.35207770 0.09566323 0.03895094
0.35336379 0.09533397 0.03894592
0.35466466 0.09503042 0.03894289
0.35595074 0.09484548 0.03894472
0.35723683 0.09484987 0.03895923
0.35852292 0.09497441 0.03897407
0.35980901 0.09509750 0.03898201
0.36109510 0.09520122 0.03899047
0.36238118 0.09530463 0.03899973
0.36368206 0.09538726 0.03900641
0.36496814 0.09538528 0.03900498
0.36625423 0.09526491 0.03899900
0.36754032 0.09506370 0.03899500
0.36882641 0.09488857 0.03900036
0.37011250 0.09485776 0.03902240
0.37139858 0.09499164 0.03905703
0.37269945 0.09515659 0.03908500
0.37398554 0.09524187 0.03909882
0.37527163 0.09524180 0.03910548
0.37655772 0.09517665 0.03909930
0.37784381 0.09508930 0.03908079
0.37912989 0.09504684 0.03905803
0.38041598 0.09509076 0.03903916
0.38170207 0.09512655 0.03902317
0.38298816 0.09505597 0.03901569
0.38428903 0.09492483 0.03903028
0.38557512 0.09481417 0.03906346
0.38686121 0.09474734 0.03910256
0.38814729 0.09473387 0.03913850
0.38943338 0.09479021 0.03916912
0.39071947 0.09491647 0.03919221
0.39200556 0.09507591 0.03920527
0.39329165 0.09523218 0.03920969
0.39457773 0.09539161 0.03920991
0.39586382 0.09557769 0.03920604
0.39714991 0.09580374 0.03919928
0.39843600 0.09604021 0.03919339
0.39973687 0.09618120 0.03919235
0.40102296 0.09606219 0.03918705
0.40230905 0.09569648 0.03918552
0.40359513 0.09528933 0.03921126
0.40488122 0.09504651 0.03926794
0.40616731 0.09499860 0.03932829
0.40745340 0.09504943 0.03937118
0.40873949 0.09508202 0.03939384
0.41002557 0.09497699 0.03939889
0.41131166 0.09474917 0.03939884
0.41259775 0.09457546 0.03941551
0.41388384 0.09456750 0.03944521
0.41516993 0.09464305 0.03946710
0.41645601 0.09481539 0.03949029
0.41774210 0.09521270 0.03952394
0.41902819 0.09596217 0.03956394
0.42031428 0.09688939 0.03959351
0.42160037 0.09758363 0.03958551
0.42288645 0.09783609 0.03955191
0.42417254 0.09781586 0.03953974
0.42545863 0.09779606 0.03955830
0.42674472 0.09782452 0.03959286
0.42803081 0.09787723 0.03962332
0.42931690 0.09796968 0.03965039
0.43060298 0.09815494 0.03968939
0.43188907 0.09843343 0.03973364
0.43317516 0.09876606 0.03977442
0.43446125 0.09912524 0.03981056
0.43574734 0.09948753 0.03983929
0.43703342 0.09984698 0.03986218
0.43831951 0.10019790 0.03987885
0.43960560 0.10053915 0.03989029
0.44089169 0.10086010 0.03989752
0.44217778 0.10114628 0.03990660
0.44346386 0.10137554 0.03992125
0.44474995 0.10152970 0.03993217
0.44603604 0.10169815 0.03995001
0.44732213 0.10207018 0.03999780
0.44860822 0.10277773 0.04006815
0.44989430 0.10363636 0.04013328
0.45118039 0.10427292 0.04015569
0.45246648 0.10446672 0.04013546
0.45375257 0.10437741 0.04012071
0.45503866 0.10424026 0.04013808
0.45632474 0.10405985 0.04017285
0.45761083 0.10374576 0.04019135
0.45889692 0.10328031 0.04019686
0.46018301 0.10280400 0.04022212
0.46146910 0.10250542 0.04028169
0.46275519 0.10257847 0.04038132
0.46404127 0.10295896 0.04048281
0.46532736 0.10330040 0.04055314
0.46661345 0.10335564 0.04059143
0.46789954 0.10319528 0.04061095
0.46917084 0.10305440 0.04065379
0.47045693 0.10309658 0.04073905
0.47174302 0.10329719 0.04083524
0.47302911 0.10351481 0.04090800
0.47431520 0.10364148 0.04095346
0.47560128 0.10363569 0.04097536
0.47688737 0.10351779 0.04098850
0.47817346 0.10334823 0.04100478
0.47945955 0.10319403 0.04102860
0.48074564 0.10311870 0.04106167
0.48203172 0.10317712 0.04110684
0.48331781 0.10333956 0.04115455
0.48460390 0.10351285 0.04119548
0.48587521 0.10359508 0.04122073
